size,signal_type,iteration,vector_size,vFFT_mean_err,vFFT_max_err,vFFT_std_err,nFFT_mean_err,nFFT_max_err,nFFT_std_err,vIFFT_mean_err,vIFFT_max_err,vIFFT_std_err,nIFFT_mean_err,nIFFT_max_err,nIFFT_std_err,vFFT_mean_norm_err,nFFT_mean_norm_err,vIFFT_mean_norm_err,nIFFT_mean_norm_err
2,random,0,16,0.0,0.0,0.0,0.0,0.0,0.0,3.0517578e-05,6.1035156e-05,3.0517578e-05,3.0517578e-05,6.1035156e-05,3.0517578e-05,0.0,0.0,3.2077164e-08,3.2077164e-08
2,random,1,16,0.0,0.0,0.0,0.0,0.0,0.0,3.0755073e-05,6.1510145e-05,3.0755073e-05,3.0755073e-05,6.1510145e-05,3.0755073e-05,0.0,0.0,3.403103e-08,3.403103e-08
2,random,2,16,0.0,0.0,0.0,0.0,0.0,0.0,1.7059845e-05,3.411969e-05,1.7059845e-05,1.7059845e-05,3.411969e-05,1.7059845e-05,0.0,0.0,6.2892255e-08,6.2892255e-08
2,random,3,16,0.0,0.0,0.0,0.0,0.0,0.0,4.5776367e-05,6.1035156e-05,1.5258789e-05,4.5776367e-05,6.1035156e-05,1.5258789e-05,0.0,0.0,4.461052e-08,4.461052e-08
2,random,4,16,0.0,0.0,0.0,0.0,0.0,0.0,1.5258789e-05,3.0517578e-05,1.5258789e-05,1.5258789e-05,3.0517578e-05,1.5258789e-05,0.0,0.0,2.5577572e-08,2.5577572e-08
2,sine,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,sine,1,16,0.0,0.0,0.0,0.0,0.0,0.0,4.1749085e-05,6.823938e-05,2.6490296e-05,4.1749085e-05,6.823938e-05,2.6490296e-05,0.0,0.0,4.47738e-08,4.47738e-08
2,sine,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,sine,3,16,0.0,0.0,0.0,0.0,0.0,0.0,4.7851576e-05,6.518557e-05,1.7333998e-05,4.7851576e-05,6.518557e-05,1.7333998e-05,0.0,0.0,5.236013e-08,5.236013e-08
2,sine,4,16,0.0,0.0,0.0,0.0,0.0,0.0,3.0517578e-05,6.1035156e-05,3.0517578e-05,3.0517578e-05,6.1035156e-05,3.0517578e-05,0.0,0.0,3.005678e-08,3.005678e-08
2,impulse,0,16,0.0,0.0,0.0,0.0,0.0,0.0,3.8146973e-05,6.1035156e-05,2.2888184e-05,3.8146973e-05,6.1035156e-05,2.2888184e-05,0.0,0.0,4.0781863e-08,4.0781863e-08
2,impulse,1,16,0.0,0.0,0.0,0.0,0.0,0.0,1.57284e-05,3.14568e-05,1.57284e-05,1.57284e-05,3.14568e-05,1.57284e-05,0.0,0.0,3.2762415e-08,3.2762415e-08
2,impulse,2,16,0.0,0.0,0.0,0.0,0.0,0.0,2.2888184e-05,3.0517578e-05,7.6293945e-06,2.2888184e-05,3.0517578e-05,7.6293945e-06,0.0,0.0,3.5630855e-08,3.5630855e-08
2,impulse,3,16,0.0,0.0,0.0,0.0,0.0,0.0,4.5776367e-05,6.1035156e-05,1.5258789e-05,4.5776367e-05,6.1035156e-05,1.5258789e-05,0.0,0.0,5.0952544e-08,5.0952544e-08
2,impulse,4,16,0.0,0.0,0.0,0.0,0.0,0.0,1.5258789e-05,3.0517578e-05,1.5258789e-05,1.5258789e-05,3.0517578e-05,1.5258789e-05,0.0,0.0,3.0595192e-08,3.0595192e-08
2,step,0,16,0.0,0.0,0.0,0.0,0.0,0.0,4.757742e-05,6.1035156e-05,1.3457733e-05,4.757742e-05,6.1035156e-05,1.3457733e-05,0.0,0.0,6.929777e-08,6.929777e-08
2,step,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,step,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,step,3,16,0.0,0.0,0.0,0.0,0.0,0.0,3.4332275e-05,6.1035156e-05,2.670288e-05,3.4332275e-05,6.1035156e-05,2.670288e-05,0.0,0.0,3.552671e-08,3.552671e-08
2,step,4,16,0.0,0.0,0.0,0.0,0.0,0.0,2.2888184e-05,3.0517578e-05,7.6293945e-06,2.2888184e-05,3.0517578e-05,7.6293945e-06,0.0,0.0,4.567918e-08,4.567918e-08
2,chirp,0,16,0.0,0.0,0.0,0.0,0.0,0.0,7.6293945e-06,1.5258789e-05,7.6293945e-06,7.6293945e-06,1.5258789e-05,7.6293945e-06,0.0,0.0,1.7648082e-08,1.7648082e-08
2,chirp,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,chirp,2,16,0.0,0.0,0.0,0.0,0.0,0.0,4.7683716e-07,9.536743e-07,4.7683716e-07,4.7683716e-07,9.536743e-07,4.7683716e-07,0.0,0.0,4.899486e-10,4.899486e-10
2,chirp,3,16,0.0,0.0,0.0,0.0,0.0,0.0,1.3885708e-05,2.7771415e-05,1.3885708e-05,1.3885708e-05,2.7771415e-05,1.3885708e-05,0.0,0.0,1.03533104e-07,1.03533104e-07
2,chirp,4,16,0.0,0.0,0.0,0.0,0.0,0.0,3.0517578e-05,6.1035156e-05,3.0517578e-05,3.0517578e-05,6.1035156e-05,3.0517578e-05,0.0,0.0,3.2236475e-08,3.2236475e-08
4,random,0,16,4.601386e-05,0.00012302029,4.617233e-05,4.601386e-05,0.00012302029,4.617233e-05,3.237178e-05,3.4332275e-05,1.8557249e-06,3.237178e-05,3.4332275e-05,1.8557249e-06,3.363151e-08,3.363151e-08,5.4695573e-08,5.4695573e-08
4,random,1,16,5.340576e-05,0.00012207031,4.513611e-05,5.340576e-05,0.00012207031,4.513611e-05,1.9974013e-05,3.411969e-05,1.3532012e-05,1.9974013e-05,3.411969e-05,1.3532012e-05,4.4555126e-08,4.4555126e-08,3.9461916e-08,3.9461916e-08
4,random,2,16,1.335144e-05,3.0517578e-05,1.3621194e-05,1.335144e-05,3.0517578e-05,1.3621194e-05,2.3901232e-05,3.0755073e-05,1.1597372e-05,2.3901232e-05,3.0755073e-05,1.1597372e-05,1.8416127e-08,1.8416127e-08,6.4145105e-08,6.4145105e-08
4,random,3,16,3.098719e-05,6.29136e-05,3.0994303e-05,3.098719e-05,6.29136e-05,3.0994303e-05,1.2599089e-05,2.7508173e-05,1.27045305e-05,1.2599089e-05,2.7508173e-05,1.27045305e-05,3.7481986e-08,3.7481986e-08,6.0252084e-08,6.0252084e-08
4,random,4,16,3.9086193e-05,0.0001258272,5.1606403e-05,3.9086193e-05,0.0001258272,5.1606403e-05,3.8146973e-05,6.1035156e-05,2.530384e-05,3.8146973e-05,6.1035156e-05,2.530384e-05,2.8917729e-08,2.8917729e-08,3.9625547e-08,3.9625547e-08
4,sine,0,16,0.0001252804,0.00024604058,7.3420335e-05,0.0001252804,0.00024604058,7.3420335e-05,3.6837977e-05,8.6316744e-05,3.7906877e-05,3.6837977e-05,8.6316744e-05,3.7906877e-05,9.1766566e-08,9.1766566e-08,5.6207746e-08,5.6207746e-08
4,sine,1,16,8.010864e-05,0.00012207031,4.497462e-05,8.010864e-05,0.00012207031,4.497462e-05,4.598036e-05,6.1851126e-05,2.6548863e-05,4.598036e-05,6.1851126e-05,2.6548863e-05,5.4470746e-08,5.4470746e-08,6.1491455e-08,6.1491455e-08
4,sine,2,16,4.9591064e-05,0.00012207031,5.21652e-05,4.9591064e-05,0.00012207031,5.21652e-05,1.460429e-05,4.3158372e-05,1.7623383e-05,1.460429e-05,4.3158372e-05,1.7623383e-05,2.939596e-08,2.939596e-08,2.7181958e-08,2.7181958e-08
